City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Lata,PT,2022-01-25 20:08:51,40.1629,-8.3327,50.81,78,11,3.98
220,Kupino,RU,2022-01-25 20:12:23,54.3663,77.2981,11.07,95,100,10.02
221,Akureyri,IS,2022-01-25 20:12:24,65.6835,-18.0878,29.86,93,89,10.65
222,Morwell,AU,2022-01-25 20:12:24,-38.2333,146.4,65.34,91,94,3.91
223,Pitimbu,BR,2022-01-25 20:12:24,-7.4706,-34.8086,84.79,69,69,11.27
224,Lebowakgomo,ZA,2022-01-25 20:12:25,-24.2,29.5,63.05,80,100,5.48
225,Kuching,MY,2022-01-25 20:13:25,1.55,110.3333,75.42,100,20,0.0
226,Kholodnyy,RU,2022-01-25 20:13:26,62.7167,147.95,-19.79,98,100,1.63
227,Inirida,CO,2022-01-25 20:13:26,3.8653,-67.9239,87.26,60,100,3.04
228,Kavaratti,IN,2022-01-25 20:13:26,10.5669,72.642,77.63,55,65,7.52
229,Les Cayes,HT,2022-01-25 20:13:26,18.2,-73.75,79.72,69,71,9.1
230,Kyra,RU,2022-01-25 20:13:27,49.5776,111.9753,-4.85,92,100,5.17
231,Avera,US,2022-01-25 20:07:18,33.194,-82.5271,61.38,61,99,6.87
232,Nanortalik,GL,2022-01-25 20:07:19,60.1432,-45.2371,24.67,91,100,9.13
233,Hofn,IS,2022-01-25 20:06:08,64.2539,-15.2082,37.65,57,0,22.12
234,Karpathos,GR,2022-01-25 20:13:27,35.507,27.2132,46.36,61,100,17.27
235,Valparaiso,CL,2022-01-25 20:13:28,-33.0393,-71.6273,79.03,49,0,11.5
236,Kodlipet,IN,2022-01-25 20:13:28,12.8,75.8833,57.78,91,10,2.06
237,Kathu,TH,2022-01-25 20:13:28,7.9178,98.3332,76.82,78,100,8.19
238,Axim,GH,2022-01-25 20:13:29,4.8699,-2.2405,79.57,83,0,7.76
239,Annau,TM,2022-01-25 20:13:29,37.8876,58.516,42.57,41,0,4.23
240,Saint-Philippe,RE,2022-01-25 20:13:29,-21.3585,55.7679,74.79,68,88,11.36
241,Padang,ID,2022-01-25 20:07:10,-0.9492,100.3543,78.06,86,100,3.18
242,Flinders,AU,2022-01-25 20:03:38,-34.5833,150.8552,69.8,87,74,5.01
243,Esperance,AU,2022-01-25 20:07:13,-33.8667,121.9,65.28,83,100,13.91
244,Mikuni,JP,2022-01-25 20:13:30,36.2171,136.1519,37.53,75,100,5.39
245,Zhezkazgan,KZ,2022-01-25 20:06:08,47.8043,67.7144,-2.88,96,17,3.65
246,Buncrana,IE,2022-01-25 20:13:31,55.1333,-7.45,47.97,90,100,7.14
247,Clyde River,CA,2022-01-25 20:13:31,70.4692,-68.5914,-9.62,98,100,10.25
248,Mokobeng,BW,2022-01-25 20:13:31,-22.9965,27.6678,76.98,54,100,12.77
249,Port Macquarie,AU,2022-01-25 20:13:31,-31.4333,152.9167,68.9,76,100,1.77
250,Aswan,EG,2022-01-25 20:13:32,24.0934,32.907,51.58,32,0,11.61
251,Airai,TL,2022-01-25 20:01:39,-8.9266,125.4092,61.0,87,80,2.82
252,Gonbad-E Qabus,IR,2022-01-25 20:13:32,37.25,55.1672,47.37,40,16,2.28
253,Necochea,AR,2022-01-25 20:12:27,-38.5473,-58.7368,78.84,72,59,14.61
254,Lunino,RU,2022-01-25 20:13:33,53.5918,45.2271,6.03,98,96,3.89
255,Zhigansk,RU,2022-01-25 20:13:33,66.7697,123.3711,-14.6,98,98,9.37
256,Boende,CD,2022-01-25 20:13:33,-0.2167,20.8667,80.01,57,89,2.55
257,Gweru,ZW,2022-01-25 20:13:34,-19.45,29.8167,62.94,96,100,17.56
258,Galesong,ID,2022-01-25 20:13:34,-5.3166,119.3661,75.22,82,88,6.89
259,Kishtwar,IN,2022-01-25 20:13:34,33.3167,75.7667,28.67,83,98,4.56
260,Muros,ES,2022-01-25 20:11:15,42.7762,-9.0603,50.23,89,0,6.8
261,Sterling,US,2022-01-25 20:12:34,39.0062,-77.4286,44.04,61,75,1.01
262,Novonukutskiy,RU,2022-01-25 20:13:35,53.7002,102.7117,-18.85,100,100,2.48
263,Magadan,RU,2022-01-25 20:13:35,59.5667,150.8,-11.87,82,99,7.9
264,Postrelmov,CZ,2022-01-25 20:13:36,49.9076,16.9123,37.22,96,100,3.6
265,Maragogi,BR,2022-01-25 20:13:36,-9.0122,-35.2225,81.52,72,29,9.53
266,Caborca,MX,2022-01-25 20:13:36,30.5838,-111.101,65.55,16,62,9.06
267,Deputatskiy,RU,2022-01-25 20:12:14,69.3,139.9,-30.69,99,35,5.61
268,Codrington,AU,2022-01-25 20:04:53,-38.2667,141.9667,68.45,58,8,6.87
269,Makaryev,RU,2022-01-25 20:14:37,57.8797,43.8069,7.9,98,100,5.59
270,Saint-Louis,SN,2022-01-25 20:14:37,16.3333,-15.0,81.97,9,100,9.75
271,Tooele,US,2022-01-25 20:14:37,40.5308,-112.2983,37.96,80,75,3.44
272,Portland,US,2022-01-25 20:09:55,45.5234,-122.6762,52.84,65,24,1.01
273,Warri,NG,2022-01-25 20:14:38,5.5167,5.75,79.93,72,76,6.04
274,Hamilton,US,2022-01-25 20:14:38,39.1834,-84.5333,31.08,60,75,3.0
275,Asau,RO,2022-01-25 20:04:44,46.4333,26.4,20.32,74,100,7.2
276,Urumqi,CN,2022-01-25 20:14:39,43.801,87.6005,5.95,85,75,2.24
277,Cap Malheureux,MU,2022-01-25 20:14:39,-19.9842,57.6142,75.47,70,80,1.99
278,Huarmey,PE,2022-01-25 20:14:28,-10.0681,-78.1522,76.62,72,89,12.06
279,Matamoros,MX,2022-01-25 20:14:39,25.5333,-103.25,69.91,30,0,8.05
280,Ilulissat,GL,2022-01-25 20:06:08,69.2167,-51.1,14.02,57,75,18.41
281,Zhoucheng,CN,2022-01-25 20:14:40,35.9122,116.3117,35.02,75,1,4.85
282,Lasa,IT,2022-01-25 20:14:40,46.6166,10.7002,45.86,66,1,6.08
283,Hithadhoo,MV,2022-01-25 20:14:40,-0.6,73.0833,81.19,66,97,14.32
284,Monte Carmelo,BR,2022-01-25 20:14:41,-18.7247,-47.4986,76.12,74,100,2.37
285,Joshimath,IN,2022-01-25 20:14:41,30.5667,79.5667,30.06,60,40,6.98
286,New Norfolk,AU,2022-01-25 20:14:41,-42.7826,147.0587,60.66,71,100,2.1
287,Tarauaca,BR,2022-01-25 20:14:42,-8.1614,-70.7656,79.0,82,96,2.08
288,Caravelas,BR,2022-01-25 20:14:42,-17.7125,-39.2481,79.11,75,100,9.31
289,Srandakan,ID,2022-01-25 20:14:42,-7.9386,110.2506,78.67,88,100,9.24
290,Victor Harbor,AU,2022-01-25 20:14:43,-35.5667,138.6167,75.2,84,14,0.92
291,Namatanai,PG,2022-01-25 20:14:43,-3.6667,152.4333,79.7,83,92,4.09
292,Tautira,PF,2022-01-25 20:14:43,-17.7333,-149.15,86.02,79,83,19.44
