City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
162,Rawson,AR,-43.3002,-65.1023,59.31,68,76,22.03,broken clouds,2022-02-05 00:10:12
163,Baykalsk,RU,51.5058,104.1469,9.19,77,40,7.16,scattered clouds,2022-02-05 00:10:12
164,Shingu,JP,33.7333,135.9833,39.9,57,27,16.13,scattered clouds,2022-02-05 00:10:12
165,Camacha,PT,33.0833,-16.3333,59.54,94,20,0.0,few clouds,2022-02-05 00:10:13
166,Nabire,ID,-3.3667,135.4833,81.68,78,100,0.58,overcast clouds,2022-02-05 00:10:13
167,Lindi,TZ,-10.0,39.7167,73.44,96,77,4.03,light rain,2022-02-05 00:10:13
168,Avarua,CK,-21.2078,-159.775,82.45,78,20,16.11,few clouds,2022-02-05 00:06:31
169,Sungairaya,ID,0.7,108.9,76.51,90,99,7.29,overcast clouds,2022-02-05 00:10:14
170,Machinga,MW,-15.1685,35.3,65.98,95,100,3.96,overcast clouds,2022-02-05 00:10:14
171,Tanete,ID,-3.9443,119.7848,79.65,84,100,1.9,overcast clouds,2022-02-05 00:10:14
172,Havelock,US,34.8791,-76.9013,71.02,92,100,11.01,overcast clouds,2022-02-05 00:10:15
173,Iqaluit,CA,63.7506,-68.5145,-16.87,52,75,8.05,broken clouds,2022-02-05 00:10:15
174,Chicama,PE,-7.8447,-79.1469,66.74,70,60,8.3,broken clouds,2022-02-05 00:10:15
175,Bikaner,IN,28.0167,73.3,55.22,48,0,9.24,clear sky,2022-02-05 00:10:16
176,Barra Do Garcas,BR,-15.89,-52.2567,76.03,85,89,1.14,overcast clouds,2022-02-05 00:10:16
177,Lowestoft,GB,52.4752,1.7516,39.45,87,4,18.23,clear sky,2022-02-05 00:10:16
178,Atakpame,TG,7.5333,1.1333,75.7,71,5,3.51,clear sky,2022-02-05 00:10:17
179,Kavieng,PG,-2.5744,150.7967,83.23,70,93,5.61,overcast clouds,2022-02-05 00:05:41
180,Marrakesh,MA,31.6315,-8.0083,62.67,36,20,6.91,few clouds,2022-02-05 00:01:11
181,Filadelfia,US,39.9523,-75.1638,35.49,91,100,4.0,light rain,2022-02-05 00:06:42
182,Ilulissat,GL,69.2167,-51.1,12.22,62,40,16.11,light snow,2022-02-05 00:10:17
183,Maragogi,BR,-9.0122,-35.2225,78.82,76,36,7.81,scattered clouds,2022-02-05 00:11:18
184,Lazaro Cardenas,MX,17.9583,-102.2,77.77,65,8,5.37,clear sky,2022-02-05 00:11:18
185,Lagoa,PT,39.05,-27.9833,57.96,81,64,21.07,broken clouds,2022-02-05 00:11:18
186,Pirai Do Sul,BR,-24.5261,-49.9486,66.04,99,98,3.31,overcast clouds,2022-02-05 00:11:19
187,Abu Zabad,SD,12.35,29.25,62.67,17,88,16.62,overcast clouds,2022-02-05 00:11:19
188,Bahia Honda,CU,22.9036,-83.1592,74.66,82,19,5.5,few clouds,2022-02-05 00:11:19
189,Lubango,AO,-14.9172,13.4925,60.1,52,59,3.29,broken clouds,2022-02-05 00:11:20
190,Cape Town,ZA,-33.9258,18.4232,65.08,58,1,8.01,clear sky,2022-02-05 00:02:08
191,Milas,TR,37.3164,27.7839,38.55,60,0,3.44,clear sky,2022-02-05 00:11:20
192,San Rafael Del Sur,NI,11.8485,-86.4384,86.07,40,6,11.61,clear sky,2022-02-05 00:11:21
193,Manokwari,ID,-0.8667,134.0833,81.63,71,100,6.02,overcast clouds,2022-02-05 00:11:21
194,Alyangula,AU,-13.8483,136.4192,78.67,94,100,3.44,light rain,2022-02-05 00:11:21
195,Codrington,AU,-38.2667,141.9667,68.41,55,82,13.73,broken clouds,2022-02-05 00:09:21
196,Champerico,GT,14.3,-91.9167,88.34,65,7,9.95,clear sky,2022-02-05 00:11:22
197,Beitbridge,ZW,-22.2167,30.0,74.93,78,54,21.94,broken clouds,2022-02-05 00:11:22
198,Banda Aceh,ID,5.5577,95.3222,77.61,82,94,9.26,light rain,2022-02-05 00:11:22
199,Namibe,AO,-15.1961,12.1522,71.42,72,68,7.05,broken clouds,2022-02-05 00:11:23
200,Savelugu,GH,9.6244,-0.8253,76.84,13,2,7.31,clear sky,2022-02-05 00:11:23
201,Severo-Kurilsk,RU,50.6789,156.125,30.7,89,96,7.52,light snow,2022-02-05 00:08:58
202,Kamenka,RU,51.3223,42.7678,11.34,98,94,6.82,overcast clouds,2022-02-05 00:11:24
203,Panaba,MX,21.2833,-88.2667,76.62,76,35,12.71,scattered clouds,2022-02-05 00:11:24
204,Bajil,YE,15.0584,43.2851,75.85,72,9,6.38,clear sky,2022-02-05 00:11:24
